IssueID,RuleName,Severity,TableName,RowKey,Details,DetectedOn,Status
4117,Overload,High,campus_sections_assignments,EDU-F001,Assigned 16.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4118,Overload,High,campus_sections_assignments,EDU-F003,Assigned 16.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4119,Overload,High,campus_sections_assignments,EDU-F004,Assigned 10.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4120,Overload,High,campus_sections_assignments,EDU-F016,Assigned 14.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4121,Overload,High,campus_sections_assignments,EDU-F021,Assigned 10.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4122,Overload,High,campus_sections_assignments,EDU-F024,Assigned 20.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4123,Overload,High,campus_sections_assignments,EDU-F046,Assigned 16.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4124,Overload,High,campus_sections_assignments,EDU-F055,Assigned 27.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4125,Overload,High,campus_sections_assignments,EDU-F082,Assigned 15.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4126,Overload,High,campus_sections_assignments,EDU-F095,Assigned 12.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4127,Overload,High,campus_sections_assignments,EDU-F096,Assigned 15.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4128,Overload,High,campus_sections_assignments,EDU-F103,Assigned 12.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4129,Overload,High,campus_sections_assignments,EDU-F109,Assigned 9.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4130,Overload,High,campus_sections_assignments,EDU-F110,Assigned 12.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4131,Overload,High,campus_sections_assignments,EDU-F113,Assigned 13.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4132,Overload,High,campus_sections_assignments,EDU-F117,Assigned 33.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4133,Overload,High,campus_sections_assignments,EDU-F120,Assigned 16.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4134,Overload,High,campus_sections_assignments,EDU-F127,Assigned 17.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4135,Overload,High,campus_sections_assignments,EDU-F136,Assigned 21.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4136,Overload,High,campus_sections_assignments,EDU-F151,Assigned 15.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4137,Overload,High,campus_sections_assignments,EDU-F165,Assigned 14.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4138,Overload,High,campus_sections_assignments,EDU-F168,Assigned 20.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4139,Overload,High,campus_sections_assignments,EDU-F170,Assigned 16.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4140,Overload,High,campus_sections_assignments,EDU-F176,Assigned 12.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4141,Overload,High,campus_sections_assignments,EDU-F184,Assigned 11.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4142,Overload,High,campus_sections_assignments,EDU-F190,Assigned 14.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4143,Overload,High,campus_sections_assignments,EDU-F191,Assigned 31.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4144,Overload,High,campus_sections_assignments,EDU-F194,Assigned 18.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4145,Overload,High,campus_sections_assignments,EDU-F207,Assigned 22.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4146,Overload,High,campus_sections_assignments,EDU-F211,Assigned 12.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4147,Overload,High,campus_sections_assignments,EDU-F213,Assigned 15.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4148,Overload,High,campus_sections_assignments,EDU-F236,Assigned 16.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4149,Overload,High,campus_sections_assignments,EDU-F239,Assigned 9.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4150,Overload,High,campus_sections_assignments,EDU-F248,Assigned 21.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4151,Overload,High,campus_sections_assignments,EDU-F271,Assigned 28.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4152,Overload,High,campus_sections_assignments,EDU-F275,Assigned 13.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4153,Overload,High,campus_sections_assignments,EDU-F279,Assigned 20.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4154,Overload,High,campus_sections_assignments,EDU-F280,Assigned 10.00 > Maxload 8,2025-09-28 20:10:54.3482046,Open
4155,Overload,High,campus_sections_assignments,EDU-F015,Assigned 31.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4156,Overload,High,campus_sections_assignments,EDU-F018,Assigned 19.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4157,Overload,High,campus_sections_assignments,EDU-F023,Assigned 13.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4158,Overload,High,campus_sections_assignments,EDU-F025,Assigned 11.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4159,Overload,High,campus_sections_assignments,EDU-F034,Assigned 21.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4160,Overload,High,campus_sections_assignments,EDU-F061,Assigned 22.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4161,Overload,High,campus_sections_assignments,EDU-F063,Assigned 12.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4162,Overload,High,campus_sections_assignments,EDU-F064,Assigned 17.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4163,Overload,High,campus_sections_assignments,EDU-F069,Assigned 16.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4164,Overload,High,campus_sections_assignments,EDU-F077,Assigned 41.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4165,Overload,High,campus_sections_assignments,EDU-F085,Assigned 25.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4166,Overload,High,campus_sections_assignments,EDU-F101,Assigned 19.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4167,Overload,High,campus_sections_assignments,EDU-F108,Assigned 12.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4168,Overload,High,campus_sections_assignments,EDU-F114,Assigned 26.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4169,Overload,High,campus_sections_assignments,EDU-F118,Assigned 23.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4170,Overload,High,campus_sections_assignments,EDU-F124,Assigned 20.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4171,Overload,High,campus_sections_assignments,EDU-F125,Assigned 21.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4172,Overload,High,campus_sections_assignments,EDU-F129,Assigned 19.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4173,Overload,High,campus_sections_assignments,EDU-F134,Assigned 39.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4174,Overload,High,campus_sections_assignments,EDU-F143,Assigned 14.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4175,Overload,High,campus_sections_assignments,EDU-F145,Assigned 14.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4176,Overload,High,campus_sections_assignments,EDU-F147,Assigned 23.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4177,Overload,High,campus_sections_assignments,EDU-F157,Assigned 55.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4178,Overload,High,campus_sections_assignments,EDU-F164,Assigned 11.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4179,Overload,High,campus_sections_assignments,EDU-F181,Assigned 25.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4180,Overload,High,campus_sections_assignments,EDU-F195,Assigned 34.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4181,Overload,High,campus_sections_assignments,EDU-F199,Assigned 22.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4182,Overload,High,campus_sections_assignments,EDU-F201,Assigned 24.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4183,Overload,High,campus_sections_assignments,EDU-F208,Assigned 43.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4184,Overload,High,campus_sections_assignments,EDU-F219,Assigned 14.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4185,Overload,High,campus_sections_assignments,EDU-F222,Assigned 35.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4186,Overload,High,campus_sections_assignments,EDU-F224,Assigned 19.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4187,Overload,High,campus_sections_assignments,EDU-F227,Assigned 13.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4188,Overload,High,campus_sections_assignments,EDU-F233,Assigned 16.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4189,Overload,High,campus_sections_assignments,EDU-F237,Assigned 12.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4190,Overload,High,campus_sections_assignments,EDU-F243,Assigned 16.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4191,Overload,High,campus_sections_assignments,EDU-F250,Assigned 15.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4192,Overload,High,campus_sections_assignments,EDU-F268,Assigned 15.00 > Maxload 10,2025-09-28 20:10:54.3482046,Open
4193,Overload,High,campus_sections_assignments,EDU-F006,Assigned 32.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4194,Overload,High,campus_sections_assignments,EDU-F009,Assigned 34.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4195,Overload,High,campus_sections_assignments,EDU-F013,Assigned 20.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4196,Overload,High,campus_sections_assignments,EDU-F017,Assigned 14.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4197,Overload,High,campus_sections_assignments,EDU-F020,Assigned 21.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4198,Overload,High,campus_sections_assignments,EDU-F027,Assigned 42.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4199,Overload,High,campus_sections_assignments,EDU-F042,Assigned 13.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4200,Overload,High,campus_sections_assignments,EDU-F052,Assigned 17.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4201,Overload,High,campus_sections_assignments,EDU-F056,Assigned 25.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4202,Overload,High,campus_sections_assignments,EDU-F065,Assigned 26.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4203,Overload,High,campus_sections_assignments,EDU-F072,Assigned 21.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4204,Overload,High,campus_sections_assignments,EDU-F090,Assigned 15.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4205,Overload,High,campus_sections_assignments,EDU-F115,Assigned 19.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4206,Overload,High,campus_sections_assignments,EDU-F116,Assigned 23.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4207,Overload,High,campus_sections_assignments,EDU-F119,Assigned 15.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4208,Overload,High,campus_sections_assignments,EDU-F121,Assigned 16.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4209,Overload,High,campus_sections_assignments,EDU-F137,Assigned 15.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4210,Overload,High,campus_sections_assignments,EDU-F144,Assigned 13.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4211,Overload,High,campus_sections_assignments,EDU-F158,Assigned 22.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
4212,Overload,High,campus_sections_assignments,EDU-F160,Assigned 14.00 > Maxload 12,2025-09-28 20:10:54.3482046,Open
